"apt_name","UniProt","symbol","label","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","acme.x","acme_p.x","p_adjusted.x","ade.x","ade_p.x","ade_p_adjusted.x","prop_m.x","prop_m_p.x","prop_m_p_adjusted.x","acme.y","acme_p.y","p_adjusted.y","ade.y","ade_p.y","ade_p_adjusted.y","prop_m.y","prop_m_p.y","prop_m_p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y"
"seq.10000.28","P43320","CRYBB2","CRYBB2",-0.0180110250810808,0.677616618852335,0.916448884846958,-0.0191676405749446,0.659909296646362,0.908592069790012,-0.0110834717676205,0.810744257595972,0.94331621901317,-0.0130256760391666,0.77951774567231,0.93293687813747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0042333464334287,0.935970345040813,0.994601193433738,NA,NA,NA,0.0077734350007269,0.919448470519011,0.994697097485535,-0.0562809050807767,0.455284122708627,0.937624630797294,-0.0682812009986693,0.404757860442607,0.839091184644621,NA,NA,NA
"seq.10001.7","P04049","RAF1","RAF1",-0.0298142417117008,0.216844627028283,0.683633113335169,-0.0323898993671345,0.180936827779549,0.634104296412428,-0.0308316687181056,0.2308107600198,0.630830827038999,-0.0336477692168125,0.192182996815915,0.589265299159781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0375164333670361,0.200431324369315,0.849872028905277,NA,NA,NA,-0.0271955914614268,0.536610731489765,0.994697097485535,-0.0547895924510373,0.162686739159369,0.808602291020882,0.0174408423036028,0.698583414569078,0.95148291789368,NA,NA,NA
"seq.10003.15","P51814","ZNF41","ZNF41",0.0294265978063906,0.479113562993175,0.848612279699801,0.0292126358548208,0.4844613808502,0.838665797311108,-0.0053351517731893,0.904221617905177,0.97540834091836,-0.0025587913263089,0.954182815298715,0.985696293537412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0078933567488998,0.873297710200526,0.991872993975998,NA,NA,NA,-0.0475046937802674,0.498808711017074,0.994697097485535,0.028056372364156,0.697314550502812,0.987635748468522,0.0038561729905141,0.961364950902756,0.993311614135321,NA,NA,NA
"seq.10006.25","P19419","ELK1","ELK1",0.0027493210009147,0.947672290338944,0.989298943099212,-0.0001873734552201,0.996445647195576,0.999175471804767,-0.0362757090496874,0.417032055067539,0.771246951230279,-0.0362929805829779,0.41898312157487,0.765053579121088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0269675466398032,0.600214825248511,0.956509821001699,NA,NA,NA,0.082195086883874,0.255512237823215,0.994697097485535,-0.0479222485156928,0.495411883491577,0.951881428617603,-0.0425697920652689,0.585389559348582,0.912284737578163,NA,NA,NA
"seq.10008.43","P43080","GUCA1A","GUCA1A",0.0487998704496148,0.243124668161913,0.704949493528487,0.0499232432495541,0.23431589381841,0.694676558455281,0.0108689580862253,0.807254184836295,0.941086051613444,0.0150851439457256,0.735616913337803,0.920960857981707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0320633501296989,0.523663558955375,0.946545382787574,NA,NA,NA,-0.0111769678128671,0.879648274948629,0.994697097485535,0.0706881648034351,0.331409782411565,0.904783051882625,0.133817599948137,0.0885323555456759,0.482986218617949,NA,NA,NA
"seq.10010.10","Q14457","BECN1","BECN1_1",0.0911127497534128,0.0291994295323931,0.385293315875794,0.0974342986339926,0.0200184326002888,0.34253973700912,0.0658915294685128,0.139050711556126,0.527881454892659,0.0751808991925906,0.0915064899768844,0.448923366632983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1175060644794,0.019293258643729,0.484659962826089,NA,NA,NA,0.127064304795636,0.0795104931904675,0.994697097485535,0.10047184262349,0.165781479995397,0.808602291020882,0.0968302535133017,0.216006564914364,0.689876293468277,NA,NA,NA
"seq.10011.65","Q01968","OCRL","OCRL",0.0881323510351705,0.0182819241421154,0.341772754664129,0.0860096692095429,0.0216963533570385,0.342574996407029,-0.0366226211544354,0.358777013019678,0.727447267566063,-0.0296138093447109,0.457525636057405,0.786936095384335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638229022381633,0.162611395563917,0.814888166095452,NA,NA,NA,0.0449883229383063,0.499019801211211,0.994697097485535,0.0772753100609558,0.236981026819332,0.866258813444239,0.0935787052049921,0.189329091656941,0.658052114514479,NA,NA,NA
"seq.10012.5","O95238","SPDEF","SPDEF",-0.0023832275543633,0.955464535563483,0.990707311004501,-0.0062491625296573,0.883939665294853,0.972431753765277,-0.049960314481481,0.271723863577962,0.665785645937559,-0.0505036403349144,0.268576013518408,0.658336560727323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359842996536196,0.484362596866418,0.940007984347707,NA,NA,NA,-0.002994214722789,0.967774663157572,0.99641422879775,-0.0588179165931626,0.43005763534053,0.936133112243145,0.0830962534052933,0.316492472132384,0.785265657489796,NA,NA,NA
"seq.10014.31","O43623","SNAI2","SNAI2",0.0891481199632393,0.0305920754513592,0.388263535998523,0.0814607694327143,0.0478725922774492,0.41249168916511,-0.10958356244701,0.0124171666364255,0.214867123388028,-0.102679827008158,0.0191678246292961,0.247584401461741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108041921774646,0.0327509850579114,0.553208629765962,NA,NA,NA,0.1203030286603,0.104749132093594,0.994697097485535,0.0866395396524633,0.228174624752336,0.866203585742601,0.0161489033504477,0.831826490539323,0.977869288942871,NA,NA,NA
"seq.10015.119","Q13303","KCNAB2","KCNAB2",0.0214009349702992,0.503693606393515,0.857596282767312,0.0168516047103006,0.598915156328029,0.885635501282144,-0.0621922105909195,0.0674759843001975,0.402920119366343,-0.060763397201306,0.0751160591185475,0.421380436059241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0004148177760129,0.991583675826249,0.998541581200059,NA,NA,NA,0.0163596650106332,0.761976387885711,0.994697097485535,-0.0070776664448531,0.904524273016346,0.997578205609191,0.0583336886356454,0.325228263619903,0.790590331089429,NA,NA,NA
"seq.10022.207","Q9Y253","POLH","POLH",0.0448192159779563,0.296578925877023,0.743581682674541,0.0463151276057417,0.282720620713515,0.726774431253024,0.0156115094415659,0.732981039983725,0.919064866829852,0.0196186934598452,0.669113873755789,0.893091713138682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0352508393833025,0.496236512094443,0.942602865456648,NA,NA,NA,0.0442436805189187,0.553148470884587,0.994697097485535,0.0216111392593349,0.773815460960625,0.993515789162767,0.0893081339615098,0.279599434196366,0.754121391381165,NA,NA,NA
"seq.10023.32","P11473","VDR","VDR",0.0188206179228898,0.662287963986871,0.912858951365096,0.0160113742299883,0.711291675572015,0.923171184133641,-0.0370119321302285,0.419550716804553,0.772019947441567,-0.0355799819947369,0.439741074053579,0.778170245933178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0419805868042613,0.42026678549884,0.922069749027832,NA,NA,NA,0.11997001376988,0.107459426525628,0.994697097485535,-0.0297783225922877,0.693505185952913,0.987619581042654,-0.0295197774443147,0.71558134716114,0.954227470647868,NA,NA,NA
"seq.10024.44","Q86XE5","HOGA1","HOGA1",0.0893827068914077,0.0380503244280136,0.412146184932224,0.0884125182430658,0.0409792413132804,0.400436958953294,-0.0205065041968526,0.655509053234051,0.886109012781251,-0.0130623715074956,0.776305736166128,0.931577249895077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0688128273488029,0.187980389321691,0.844810077858431,NA,NA,NA,0.0638439189628246,0.401899187747023,0.994697097485535,0.0757342620745834,0.319908188074198,0.900514354760638,0.0696952955766606,0.394458394324919,0.833339213001894,NA,NA,NA
