"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","seq_10000_28",-0.0217694181958548,-0.0217694181958548,0.0243854041060745,-0.892723290586437,0.372113748183586,0.0359228040545082,0.0315450569488021,1982,-0.0695931366011428,0.0260543002094332,0.83875267806851,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","seq_10001_7",-0.00166376152544366,-0.00166376152544366,0.0161439843108646,-0.103057677299896,0.917927542264781,0.518047595558958,0.515875551673144,1997,-0.0333245784940892,0.0299970554432018,0.984700654601522,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","seq_10003_15",0.00946955746036655,0.00946955746036655,0.0167635859807663,0.564888531083471,0.572213319804322,0.040767254194082,0.0364246512201116,1988,-0.0234064832009923,0.0423455981217254,0.914138245133053,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","seq_10006_25",0.0125628811915077,0.0125628811915077,0.0152274541213634,0.825015205521621,0.409462039351898,0.0472348775230689,0.0429172108048956,1986,-0.0173005805141695,0.0424263428971848,0.852651057302098,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","seq_10008_43",0.00957767645035695,0.00957767645035695,0.0166223066569984,0.576194185800591,0.564549125930095,0.0544316745979012,0.0501530848901994,1989,-0.0230212831512962,0.0421766360520101,0.911915827583313,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","seq_10010_10",-0.0176073591119094,-0.0176073591119094,0.0153222555986117,-1.14913623510528,0.250637973562114,0.0664462070426519,0.0622219817351526,1989,-0.047656713968147,0.0124419957443282,0.765259737622356,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","seq_10011_65",-0.032149702518558,-0.032149702518558,0.0150917827763698,-2.13027864202345,0.033270466497198,0.118117569753154,0.114145126373663,1998,-0.0617469827179136,-0.00255242231920247,0.388422032743729,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","seq_10012_5",-0.00792321128997536,-0.00792321128997536,0.0170912830369096,-0.463582006854883,0.642997718640141,0.0561740356601978,0.0519246941499135,1999,-0.0414418052903476,0.0255953827103969,0.926904880845692,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","seq_10014_31",-0.0189256499579031,-0.0189256499579031,0.0151667297562043,-1.2478398614679,0.212236665121397,0.0812566910872015,0.0770973903929284,1988,-0.0486700032685197,0.0108187033527135,0.724189276538351,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","seq_10015_119",-0.00139613889515975,-0.00139613889515975,0.0152229033705677,-0.0917130498153904,0.926935268978975,0.0744996061095417,0.0703097149903195,1988,-0.0312506575386608,0.0284583797483413,0.987072327058679,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
